genotype;replicate;plant;block;row;date;day;weight;instar;molting;remarks
WT;1;1;1;a;30/01/2020;6;0,035;2;no;
WT;2;2;1;a;30/01/2020;6;0,014;2;no;
WT;3;3;1;a;30/01/2020;6;0,038;2;no;
WT;4;4;1;c;30/01/2020;6;0,033;2;no;
WT;5;5;1;c;30/01/2020;6;0,029;2;no;
WT;6;6;1;c;30/01/2020;6;0,028;2;no;
WT;7;7;2;b;30/01/2020;6;0,060;2;yes;2,3  molting
WT;8;8;2;b;30/01/2020;6;0,021;2;no;
WT;9;9;2;b;30/01/2020;6;0,034;2;no;
WT;10;10;2;d;30/01/2020;6;0,026;2;no;
WT;11;11;2;d;30/01/2020;6;0,044;2;yes;2,3 molting
WT;12;12;2;d;30/01/2020;6;0,037;2;no;
WT;13;13;3;b;30/01/2020;6;0,050;2;no;
WT;14;14;3;b;30/01/2020;6;0,046;2;yes;2,3 molting
WT;15;15;3;b;30/01/2020;6;0,046;2;yes;2,3 molting
WT;16;16;3;c;30/01/2020;6;0,059;2;yes;2,3 molting
WT;17;17;3;c;30/01/2020;6;0,047;2;yes;2,3 molting
WT;18;18;3;c;30/01/2020;6;0,060;2;yes;2,3 molting
WT;19;19;4;a;30/01/2020;6;0,027;2;no;
WT;20;30;4;a;30/01/2020;6;0,060;2;yes;2,3 molting
WT;21;21;4;a;30/01/2020;6;0,060;2;yes;2,3 molting
KO;1;22;1;b;30/01/2020;6;0,036;2;no;
KO;2;23;1;b;30/01/2020;6;NA;NA;NA;
KO;3;24;1;b;30/01/2020;6;0,020;2;no;
KO;4;25;1;d;30/01/2020;6;0,032;2;no;
KO;5;26;1;d;30/01/2020;6;0,024;2;no;
KO;6;27;1;d;30/01/2020;6;0,026;2;no;
KO;7;28;2;a;30/01/2020;6;0,018;2;no;
KO;8;29;2;a;30/01/2020;6;0,025;2;no;
KO;9;30;2;a;30/01/2020;6;0,024;2;no;
KO;10;31;2;c;30/01/2020;6;0,018;2;no;
KO;11;32;2;c;30/01/2020;6;0,040;2;no;
KO;12;33;2;c;30/01/2020;6;0,043;2;no;
KO;13;34;3;a;30/01/2020;6;0,018;2;no;
KO;14;35;3;a;30/01/2020;6;0,032;2;no;
KO;15;36;3;a;30/01/2020;6;0,031;2;no;
KO;16;37;3;d;30/01/2020;6;0,033;2;no;
KO;17;38;3;d;30/01/2020;6;0,047;2;no;
KO;18;39;3;d;30/01/2020;6;0,052;2;no;
KO;19;40;4;b;30/01/2020;6;0,041;2;no;
KO;20;41;4;b;30/01/2020;6;0,016;2;no;
KO;21;42;4;b;30/01/2020;6;0,055;2;no;
WT;1;1;1;a;03/02/2020;10;0,092;3;no;early
WT;2;2;1;a;03/02/2020;10;0,085;3;no;early
WT;3;3;1;a;03/02/2020;10;0,198;3;no;late
WT;4;4;1;c;03/02/2020;10;0,182;3;no;late
WT;5;5;1;c;03/02/2020;10;0,105;3;no;
WT;6;6;1;c;03/02/2020;10;0,144;3;no;
WT;7;7;2;b;03/02/2020;10;0,240;3;yes;3,4 molting
WT;8;8;2;b;03/02/2020;10;0,099;3;no;
WT;9;9;2;b;03/02/2020;10;0,112;3;no;
WT;10;10;2;d;03/02/2020;10;0,165;3;no;late
WT;11;11;2;d;03/02/2020;10;NA;NA;NA;
WT;12;12;2;d;03/02/2020;10;0,173;3;no;late
WT;13;13;3;b;03/02/2020;10;0,304;3;yes;3,4 molting
WT;14;14;3;b;03/02/2020;10;0,253;3;yes;3,4 molting
WT;15;15;3;b;03/02/2020;10;NA;NA;NA;
WT;16;16;3;c;03/02/2020;10;0,250;3;yes;3,4 molting
WT;17;17;3;c;03/02/2020;10;0,258;4;no;
WT;18;18;3;c;03/02/2020;10;0,293;3;yes;3,4 molting
WT;19;19;4;a;03/02/2020;10;NA;NA;NA;
WT;20;30;4;a;03/02/2020;10;0,314;3;yes;3,4 molting
WT;21;21;4;a;03/02/2020;10;NA;NA;NA;
KO;1;22;1;b;03/02/2020;10;0,230;3;no;
KO;2;23;1;b;03/02/2020;10;NA;NA;NA;
KO;3;24;1;b;03/02/2020;10;0,086;3;no;
KO;4;25;1;d;03/02/2020;10;0,139;3;no;
KO;5;26;1;d;03/02/2020;10;0,196;3;no;
KO;6;27;1;d;03/02/2020;10;0,145;3;no;
KO;7;28;2;a;03/02/2020;10;0,048;2;no;
KO;8;29;2;a;03/02/2020;10;0,082;3;no;
KO;9;30;2;a;03/02/2020;10;0,164;3;no;
KO;10;31;2;c;03/02/2020;10;0,065;3;no;
